# OLiA discourse	label	DBO	Saplo	Yahoo	Zemanta	SemiTags	NERD
<http://purl.org/olia/discourse/olia_discourse.owl#Function>	function						<http://nerd.eurecom.fr/ontology#Function>
<http://purl.org/olia/discourse/olia_discourse.owl#Function>	person function	<http://dbpedia.org/ontology/PersonFunction>					
<http://purl.org/olia/discourse/olia_discourse.owl#Function>	position						
<http://purl.org/olia/discourse/olia_discourse.owl#GeographicalFeature>	geographical feature						
<http://purl.org/olia/discourse/olia_discourse.owl#Holiday>	holiday	<http://dbpedia.org/ontology/Holiday>		<http://developer.yahoo.com/search/content/V2/contentAnalysis.html#holiday>			<http://nerd.eurecom.fr/ontology#Holiday>
<http://purl.org/olia/discourse/olia_discourse.owl#Hospital>	hospital						<http://nerd.eurecom.fr/ontology#Hospital>
<http://purl.org/olia/discourse/olia_discourse.owl#Insect>	insect						<http://nerd.eurecom.fr/ontology#Insect>
<http://purl.org/olia/discourse/olia_discourse.owl#Island>	island						<http://nerd.eurecom.fr/ontology#Island>
<http://purl.org/olia/discourse/olia_discourse.owl#Lake>	lake						<http://nerd.eurecom.fr/ontology#Lake>
<http://purl.org/olia/discourse/olia_discourse.owl#Legislature>	legislature						<http://nerd.eurecom.fr/ontology#Legislature>
<http://purl.org/olia/discourse/olia_discourse.owl#Lighthouse>	lighthouse						<http://nerd.eurecom.fr/ontology#Lighthouse>
<http://purl.org/olia/discourse/olia_discourse.owl#Magazine>	magazine	<http://dbpedia.org/ontology/Magazine>					<http://nerd.eurecom.fr/ontology#Magazine>
<http://purl.org/olia/discourse/olia_discourse.owl#ManufacturedObject>	PROD						
<http://purl.org/olia/discourse/olia_discourse.owl#ManufacturedObject>	consumer product				<http://developer.zemanta.com/docs/entity_type/consumer_product>		
<http://purl.org/olia/discourse/olia_discourse.owl#ManufacturedObject>	manufactured object						
<http://purl.org/olia/discourse/olia_discourse.owl#ManufacturedObject>	product			<http://developer.yahoo.com/search/content/V2/contentAnalysis.html#product>			<http://nerd.eurecom.fr/ontology#Product>
<http://purl.org/olia/discourse/olia_discourse.owl#Mayor>	mayor						<http://nerd.eurecom.fr/ontology#Mayor>
<http://purl.org/olia/discourse/olia_discourse.owl#MediaProduct>	media product						
<http://purl.org/olia/discourse/olia_discourse.owl#MilitaryConflict>	conflict						
<http://purl.org/olia/discourse/olia_discourse.owl#MilitaryConflict>	military conflict	<http://dbpedia.org/ontology/MilitaryConflict>					<http://nerd.eurecom.fr/ontology#MilitaryConflict>
<http://purl.org/olia/discourse/olia_discourse.owl#Mountain>	mountain						<http://nerd.eurecom.fr/ontology#Mountain>
<http://purl.org/olia/discourse/olia_discourse.owl#Movie>	film	<http://dbpedia.org/ontology/Film>			<http://developer.zemanta.com/docs/entity_type/film>		
<http://purl.org/olia/discourse/olia_discourse.owl#Movie>	movie						<http://nerd.eurecom.fr/ontology#Movie>
<http://purl.org/olia/discourse/olia_discourse.owl#Movie>	movie name			<http://developer.yahoo.com/search/content/V2/contentAnalysis.html#movie_name>			
<http://purl.org/olia/discourse/olia_discourse.owl#Museum>	museum				<http://developer.zemanta.com/docs/entity_type/museum>		<http://nerd.eurecom.fr/ontology#Museum>
<http://purl.org/olia/discourse/olia_discourse.owl#MusicalArtist>	music artist			<http://developer.yahoo.com/search/content/V2/contentAnalysis.html#music_artist>			
<http://purl.org/olia/discourse/olia_discourse.owl#MusicalArtist>	musical artist						<http://nerd.eurecom.fr/ontology#MusicalArtist>
<http://purl.org/olia/discourse/olia_discourse.owl#MusicalEnsemble>	musical ensemble						
<http://purl.org/olia/discourse/olia_discourse.owl#Newspaper>	newspaper	<http://dbpedia.org/ontology/Newspaper>			<http://developer.zemanta.com/docs/entity_type/newspaper>		<http://nerd.eurecom.fr/ontology#Newspaper>
